temp,dew,humidity,precip,windspeed,pollen_intensity,Clear,Partially cloudy,Rain,"Rain, Overcast","Rain, Partially cloudy",tem amplitude,Kmeans label,birch,dbscan,risk level
20.7,15.8,74.3,0.0,17.2,1.0,1.0,0.0,0.0,0.0,0.0,7.0,0,0,0,1
20.4,15.6,74.9,0.0,20.1,1.0,1.0,0.0,0.0,0.0,0.0,7.299999999999997,0,1,0,1
22.1,16.4,71.2,0.0,21.3,1.0,1.0,0.0,0.0,0.0,0.0,9.8,0,0,0,1
24.8,16.9,64.0,0.0,23.6,1.0,1.0,0.0,0.0,0.0,0.0,14.0,0,0,0,2
28.6,14.9,45.0,0.0,19.2,1.0,1.0,0.0,0.0,0.0,0.0,13.500000000000004,1,2,-1,1
23.1,17.3,70.3,0.0,21.6,1.0,1.0,0.0,0.0,0.0,0.0,7.600000000000001,0,0,0,1
21.5,17.8,80.8,0.001,25.3,1.0,0.0,0.0,1.0,0.0,0.0,6.5,2,1,0,2
21.5,16.8,75.2,0.0,23.1,1.0,1.0,0.0,0.0,0.0,0.0,5.900000000000002,0,1,0,2
21.1,16.5,75.7,0.015,26.0,1.0,0.0,0.0,1.0,0.0,0.0,5.899999999999999,0,1,0,3
20.0,16.0,77.9,0.0,22.9,1.0,1.0,0.0,0.0,0.0,0.0,6.0,0,1,0,2
19.5,15.4,77.1,0.0,31.4,1.0,1.0,0.0,0.0,0.0,0.0,5.399999999999999,0,1,-1,1
21.9,14.3,64.3,0.0,24.3,1.0,1.0,0.0,0.0,0.0,0.0,11.5,0,0,0,1
22.2,16.0,69.4,0.0,26.2,1.0,1.0,0.0,0.0,0.0,0.0,9.799999999999997,0,0,0,2
22.3,16.4,70.3,0.0,26.8,1.0,1.0,0.0,0.0,0.0,0.0,11.399999999999999,0,0,0,2
22.8,15.0,63.3,0.0,22.8,1.0,1.0,0.0,0.0,0.0,0.0,12.0,0,0,0,1
23.6,16.6,66.4,0.0,25.4,1.0,1.0,0.0,0.0,0.0,0.0,13.899999999999999,0,0,0,2
23.1,15.4,64.1,0.0,24.1,1.0,1.0,0.0,0.0,0.0,0.0,11.399999999999999,0,0,0,1
23.4,15.7,64.7,0.0,24.2,1.0,1.0,0.0,0.0,0.0,0.0,13.7,0,0,0,1
22.6,18.4,77.8,0.0,23.2,1.0,1.0,0.0,0.0,0.0,0.0,6.199999999999999,0,1,0,1
21.2,14.3,66.0,0.0,23.5,1.0,1.0,0.0,0.0,0.0,0.0,6.300000000000001,0,0,0,1
20.5,17.2,82.4,1.179,19.2,1.0,0.0,0.0,1.0,0.0,0.0,6.799999999999997,2,1,0,2
21.9,15.5,68.6,0.0,21.6,1.0,1.0,0.0,0.0,0.0,0.0,8.899999999999999,0,0,0,2
21.2,14.3,66.3,0.0,30.2,1.0,1.0,0.0,0.0,0.0,0.0,7.399999999999999,0,0,-1,3
20.1,11.3,59.2,0.0,31.6,1.0,1.0,0.0,0.0,0.0,0.0,8.0,1,0,-1,2
21.5,12.3,57.5,0.0,25.8,1.0,1.0,0.0,0.0,0.0,0.0,10.399999999999999,1,0,2,2
21.7,14.1,63.9,0.0,26.2,1.0,1.0,0.0,0.0,0.0,0.0,9.799999999999997,0,0,0,1
